Module,Female,Male,Major_category
AGAMA,71,0,GAV4017-N
AGAPRD,72,72,GAV4017-N
AGMA,140,198,GAV4003-N
AQMA,353,498,GAV4017-N
AQMA1,72,217,GAV4017-N
ATDGMA,143,71,GAV4017-N
AVBA,668,1586,GAV0003-N
BMPSNG,529,143,CAM0001-N
CAMA,761,615,GAV4017-N
CANFSNG,0,128,GAV3009-N
CANSNG,522,460,GAV3009-N
CATSNG,8151,10345,GAV0003-N
CBSAMS,250,394,CIS4012-N
CBSMS,217,667,CIS4012-N
CCHFSNG,450,603,GAV2003-N
CCHSNG,1367,2255,GAV0003-N
CGNBA,301,1121,CAM0001-N
CGPPRD,1039,1254,CIS1018-N
CGSSNG,1031,2054,CAM1030-N
CGVIMO,913,1277,GAV1002-N
CMA,995,1368,GAV4017-N
CNMS,367,364,CIS4008-N
CNPRD,110,449,CIS4008-N
CPTFSNG,343,369,CIS1010-N
CPTSNG,1184,3247,CIS0002-N
CSCPRD,765,938,CIS1010-N
CSFSNG,691,886,CIS1010-N
CSMS,182,60,CIS4021-N
CSMS1,120,0,CIS4023-N
CSNMS,84,104,CIS4012-N
CSNPRD,225,0,CIS4012-N
CSNSNG,317,475,COM3051-N
CSSNG,7335,9397,CIS0002-N
CVEFSNG,48,49,VIS3102-N
CVESNG,493,539,VIS3102-N
CYBBS,2949,3684,CIS0002-N
DCMPRD,226,186,CAM4036-N
DGMBS,0,336,MUL3063-N
DNCSNG,81,243,PER3012-N
DTSAMS,142,87,CIS4008-N
DTSMS,0,74,CIS4008-N
DWEBS,114,272,CIS1018-N
FASNG,833,1571,CAM1018-N
FMCUBA,338,317,MED0008-N
FOMA,8,0,CAM4017-N
FTPBA,2083,3069,CAM0001-N
FUAPRD,165,273,CAM4016-N
GDEPRD,557,1005,GAV3009-N
GMA,546,1265,GAV4003-N
GMFSNG,454,686,GAV1002-N
GMSNG,5462,7818,CIS1010-N
GPDMA,69,137,GAV4003-N
GPDPRD,137,69,GAV4003-N
HIFBS,329,390,CIS2016-N
IGDSNG,558,1781,GAV0001-N
INFSNG,2319,2355,CIS0002-N
IPMMS,0,97,CIS4021-N
IPMPRD,251,68,CIS4012-N
JOUSNG,1420,1831,CAM1008-N
MDCBA,361,436,CAM1030-N
MJMSNG,144,217,MED3007-N
MJSSNG,153,671,MED0008-N
MMJSNG,63,72,MED3030-N
MPRPRD,320,197,CAM4037-N
MUTBS,360,858,CAM1000-N
MZSNG,436,727,DES3095-N
OABA,435,312,CAM2039-N
PFTMA,182,248,CAM4061-N
PFTMAE,0,70,CAM4061-N
PLMSNG,303,709,PER3008-N
SPJBA,236,646,CAM1008-N
TDABA,891,730,GAV0003-N
TDGMA,921,1433,GAV4003-N
TFPSNG,1339,1525,MED2034-N
TGDBS,960,1835,GAV0001-N
TVEMS,131,0,GAV4002-N
UPSNG,3321,5626,CIS0003-N
VIEAMA,72,72,GAV4017-N
VIEIMO,157,79,GAV1007-N
VIWBA,685,1317,GAV0003-N
WBPBS,750,988,CIS1009-N
WMMSNG,273,23,MUL3051-N
ZDFSNG,619,553,COM3045-N
ZDSNG,7490,9500,COM3045-N
